ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSize,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
21377171,0,0,0,1,0,0,58,3364,0.9375,0.625,7.464285714,5.75,6,6.75,6,5,6.75,2.25,0.943540787,-0.413303853,-0.735944824,2.421235887,0.262284566,0.284181245,0.656690061,4767,0,20,1,0,0,0,1,0,0,524,535,15,3
sy2314105,0,0,0,1,0,0,58,3364,1,0.705555556,14.53571429,7,7,6.75,7,6.75,7,6.25,0.780828207,0.248394583,0.119465916,4.082293163,0.982308587,1.270389569,0.706143916,3119,0,22,0,1,0,0,0,0,1,524,461,1,1
22377053,1,0,0,0,0,0,58,3364,0.875,0.96875,0.678571429,1,6.25,5.5,5.25,3.75,6.25,1,0.66951298,-0.494114553,-0.391531599,2.231223617,-0.752750794,-0.74197082,0.992249429,5311,0,19,1,0,0,0,1,0,0,529,507,13,1
21377174,0,1,0,0,0,0,62,3844,1,0.835945664,3.142857143,3,7,5.75,4,2.5,5.25,2.75,0.229505671,-0.626242991,-0.515663129,1.329327001,-0.3344006,-0.310187405,0.977650523,4494,0,20,1,0,0,0,1,0,0,660,580,19,7
22377260,1,0,0,0,0,0,58,3364,0.875,0.680555556,10.42857143,6,7,6.5,6.75,5.5,7,3.75,-0.021678042,-0.412608719,-0.49191734,0.716341718,0.071668331,-0.127508042,0.670423508,4650,0,18,1,0,0,0,0,1,0,460,507,19,7
22377005,0,0,0,0,0,1,58,3364,0.9375,0.826388889,3.357142857,4.25,5.25,5,5.25,5.25,5.75,1.5,0.1833506,-0.170225117,-0.338973616,0.845544061,0.80297516,0.247942995,0.868279874,6333,0,18,1,0,0,1,0,0,0,443,507,5,5
21377174,0,0,1,0,0,0,66,4356,1,0.914285714,5.642857143,4,7,4.75,4.25,3.25,6.75,4.25,2.205996178,-0.596618704,-0.413505812,3.425363305,-0.263176645,-0.359855107,0.987174988,4494,0,20,1,0,0,0,1,0,0,660,580,21,9
22377005,0,0,1,0,0,0,70,4900,0.875,0.851648352,4.964285714,4.75,5.5,5,4.25,5.25,5.75,3.75,0.294808905,-0.059181383,-0.137560341,1.845390625,0.516847431,0.517129482,0.919665337,6333,0,18,1,0,0,1,0,0,0,443,507,20,8
22377053,0,0,0,0,0,1,62,3844,0.9375,0.895833333,-1.142857143,2.25,5,6.5,3.25,4,4.75,1.25,5.06067583,0.990020915,1.183083929,1.294197235,-0.033807998,0.258969981,0.989345133,5311,0,19,1,0,0,0,1,0,0,529,507,23,11
21377255,0,0,0,0,0,1,58,3364,0.9375,1,5.642857143,3.25,6.25,6.25,5.75,6.25,6.75,3.5,1.035339085,-0.073068867,-0.133992818,2.178705506,0.629466298,0.541688283,0.87043643,4201,0,19,1,0,0,0,0,0,1,524,538,6,6
21081004,1,0,0,0,0,0,70,4900,0.5,1,2.392857143,3.25,5,4,4.5,5,5.5,3.75,2.418062534,0.187303368,-0.429234247,3.808270293,0.578929291,1.042685739,0.596164942,4935,0,20,1,0,0,0,0,1,0,524,450,4,4
22377206,0,0,0,1,0,0,62,3844,0.75,0.819444444,2.535714286,3.75,5,4,3.5,5,6,3,1.132730951,0.06280379,-0.018530492,0.764487395,0.68886595,0.274774611,0.930163741,5428,1,19,1,0,0,0,0,0,1,524,496,12,12
21379216,0,0,0,0,1,0,70,4900,0.875,0.925824176,-2.892857143,3.75,5,4,4,1.75,2,3.25,1.091490509,-0.181502909,-0.851537046,1.827381451,0.436178407,0.614939284,0.990130365,4343,1,20,1,0,0,0,1,0,0,514,432,15,3
zy2342116,0,0,0,0,1,0,70,4900,0.75,0.944444444,-2.214285714,1.75,5.25,4.75,2.75,3.75,3.25,3,0.042164083,-1.284343,-1.334054675,0.090951749,-0.764468585,-1.220797592,0.986565173,4573,1,23,0,1,0,1,0,0,0,524,536,19,7
22377201,0,0,0,0,1,0,70,4900,0.875,0.674242424,12,6.75,6.75,7,6.5,4.5,6.5,4.5,2.892318765,1.103799653,1.072653806,3.059260504,1.441664609,1.466693877,0.928775191,5381,1,20,1,0,0,0,1,0,0,512,507,12,12
21377174,0,0,0,1,0,0,58,3364,0.9375,0.856410256,1.428571429,3.25,6,5,5.25,1.75,5.25,3,0.197626792,-0.518676072,-0.777577102,1.616236914,0.038436748,-0.17968963,0.953273892,4494,0,20,1,0,0,0,1,0,0,660,580,4,4
