ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSpeak,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
21377242,0,0,0,0,0,1,58,3364,0.75,0.718614719,4.928571429,5.25,4.25,4.5,4.5,4.75,5.25,3.5,0.162545358,-0.174556565,-0.087364462,1.416880369,-0.104902531,0.529572433,0.112889566,3895,1,20,1,0,0,1,0,0,0,550,500,9,9
20377292,1,0,0,0,0,0,62,3844,0.75,0.627173373,1.5,4.75,6,5.75,5.5,5,6,2,0.482481697,-0.034901164,-0.079024385,1.835354233,0.512132211,0.527784655,0.002657918,4467,1,20,1,0,0,1,0,0,0,500,523,4,4
by2308103,1,0,0,0,0,0,70,4900,0.625,0.446524064,0.178571429,6.75,7,7,7,6.25,7,6.75,0.208600456,-0.248368871,-0.229884344,-0.37792842,-0.939037773,-0.959605521,0.727547944,4557,1,23,0,0,1,0,0,1,0,556,553,24,12
21377163,0,1,0,0,0,0,66,4356,0.6875,0.47540107,11.10714286,3.25,7,6.25,5.5,5,6.75,3.25,0.119602611,-0.569859268,-0.760888803,0.827724662,-0.156786776,-0.227888998,0.887995839,4904,1,20,1,0,0,0,0,1,0,438,523,24,12
sy2308207,0,0,0,1,0,0,58,3364,0.9375,0.45828877,6.714285714,3.75,4.75,5,4.25,5,5.25,3,0.995351496,0.232681644,0.316674633,1.955875521,0.412764454,0.462482306,0.098588042,3383,1,23,0,1,0,0,0,1,0,478,557,2,2
21377006,0,0,0,0,0,1,62,3844,0.5,0.21875,3.464285714,1.25,4.5,5.5,3.25,3.25,4,1.75,-1.093933994,-1.745696047,-1.816231257,-0.245707362,-1.487067144,-1.45024462,0.040262863,4012,0,20,1,0,0,1,0,0,0,585,530,13,1
21377298,0,1,0,0,0,0,70,4900,0.5,0.206284153,-2.071428571,2,3.5,3.5,2.25,3,3.25,4.25,0.524391626,-0.10322909,0.13021033,1.415411897,0.32101366,0.175448,-0.039087769,4306,1,19,1,0,0,0,1,0,0,500,450,4,4
sy2308207,0,0,1,0,0,0,62,3844,0.8125,0.435587292,-9.392857143,1.75,5.25,4.5,3.25,4.25,3.75,2,0.606278473,0.12744294,-0.026300299,2.095698638,0.739817049,0.576811844,0.044280145,3383,1,23,0,1,0,0,0,1,0,478,557,8,8
by2308106,0,0,1,0,0,0,62,3844,0.75,0.345394737,-4.714285714,3.5,4.25,4,2.75,4,3.75,4,0.057448466,-0.446602365,-0.416322323,2.251141578,0.860330973,0.752388404,0.070017874,3590,0,23,0,0,1,0,0,1,0,585,566,19,7
22374085,1,0,0,0,0,0,70,4900,0.6875,0.253399542,-3.5,5.75,5.25,5.75,5.5,5,6,2.5,1.136230695,0.574631563,0.299847801,1.994003068,0.146715578,0.620276632,0.069832377,4395,0,19,1,0,0,0,0,0,1,545,523,2,2
by2308108,0,1,0,0,0,0,58,3364,0.625,0.264874872,0.142857143,2,5.5,6.75,4.5,3.5,6.5,1.25,0.713443097,-0.32062335,0.274603309,2.0152151,0.79197216,0.536835255,0.135235995,5214,1,23,0,0,1,0,0,1,0,556,525,11,11
by2308134,0,0,1,0,0,0,70,4900,0.75,0.410678211,10.5,6.75,7,6.75,7,5.75,7,5,0.613517758,0.078026575,-0.048851845,0.895819258,0.168666978,0.091587674,0.069009863,3893,0,25,0,0,1,0,0,1,0,556,485,15,3
22377202,1,0,0,0,0,0,58,3364,0.9375,0.863636364,9.964285714,6.75,5.75,6.25,6.5,5.75,6,3,1.393427392,1.29465231,0.442924305,1.86838755,0.45441893,0.435202422,0.919399858,3744,1,18,1,0,0,0,1,0,0,610,537,24,12
